CPERSONA_COMPANIA	CSUBSISTEMA	CGRUPOPRODUCTO	CPRODUCTO	CTIPOBANCA	CESTATUSCUENTA	CSUBSISTEMA_TRANSACCION	CTRANSACCION	VERSIONTRANSACCION	CMONEDA	CTIPOHORARIO	DIASEMANA	FHASTA	FDESDE	HORADESDE	HORAHASTA	MONTOMAXIMO	CODIGOREGISTRO	VERSIONCONTROL
2	21	00	000	1	001	21	5011	01	USD	N	3	31/12/2999 0:00:00,000000	28/6/2018 20:53:10,982399	0700	2359	100000	22100000100121501101USDN3	1
2	21	00	000	1	001	21	3020	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121302001USDN7	0
2	21	00	000	1	001	21	5011	01	USD	N	4	31/12/2999 0:00:00,000000	28/6/2018 20:53:11,050404	0700	2359	100000	22100000100121501101USDN4	1
2	21	00	000	1	001	21	5011	01	USD	N	5	31/12/2999 0:00:00,000000	28/6/2018 20:53:11,103426	0700	2359	100000	22100000100121501101USDN5	1
2	21	00	000	1	001	21	5011	01	USD	N	6	31/12/2999 0:00:00,000000	28/6/2018 20:53:11,159962	0700	2359	100000	22100000100121501101USDN6	1
2	21	00	000	1	001	21	3026	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121302601USDN7	0
2	21	00	000	1	001	21	3030	01	USD	N	7	31/12/2999 0:00:00,000000	29/6/2018 14:51:45,753000	0700	2359	10000000	22100000100121303001USDN7	1
2	21	00	000	1	001	21	3060	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121306001USDN7	0
2	21	00	000	1	001	21	5009	01	USD	N	1	31/12/2999 0:00:00,000000	28/6/2018 20:53:08,193376	0700	2359	100000	22100000100121500901USDN1	1
2	21	00	000	1	001	21	5009	01	USD	N	2	31/12/2999 0:00:00,000000	28/6/2018 20:53:08,245523	0700	2359	100000	22100000100121500901USDN2	1
2	21	00	000	1	001	21	3200	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121320001USDN7	0
2	21	00	000	1	001	21	3201	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121320101USDN7	0
2	21	00	000	1	001	21	5007	01	USD	N	1	31/12/2999 0:00:00,000000	28/6/2018 20:53:05,271436	0700	2359	100000	22100000100121500701USDN1	1
2	21	00	000	1	001	21	3301	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121330101USDN7	0
2	21	00	000	1	001	21	3302	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121330201USDN7	0
2	21	00	000	1	001	21	5007	01	USD	N	2	31/12/2999 0:00:00,000000	28/6/2018 20:53:05,322036	0700	2359	100000	22100000100121500701USDN2	1
2	21	00	000	1	001	21	3304	01	USD	N	7	31/12/2999 0:00:00,000000	21/5/2013 16:18:00,000000	0000	2400	10000000	22100000100121330401USDN7	0
